id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
12,accidental,accidental,acidental,por acaso;sem importância,accidentel,tilfældigt optrædende,akzidentell,zufällig,accidental,al azar;sin importancia;casual;involuntario,accidentel,accidentel,accidentale,accidentale,accidenteel,toevallig
13,accommodation,adjustment,acomodação,adaptação,akkomodering,indstilling,Akkommodation,Anpassung,acomodación,ajuste;adaptación,accomodation,accommodation,accomodazione,accomodazione,accommodatie,scherpstelling van het oog
14,accumulation,build-up,acumulação,acumulamento,akkumulation,ansamling,Akkumulation,Ansammlung,acumulación,acumulación,accumulation,accumulation,accumalazione,accumulazione,accumulatie,opeenhoping
15,acidity,acidity,acidez,acidade;azedume,aciditet,surhedsgrad,Azidität,Säuregrad,acidez,acidez,acidité,acidité,acidità,acidità,aciditeit,zuurgehalte
16,acidosis,high blood acidity,acidose,alteração do equilíbrio ácido básico do sangue e líquidos teciduais,acidose,syreforgiftning,Azidose,Störung des Säure-Basengleichgewichts,acidosis,aumento de la acidez en líquidos y tejidos del cuerpo,acidose,excès d'acidité,acidosi,condizione di acidità,acidose,zuurvergiftiging
17,acne,acne,acne,,acne,filipenser,Akne,Akne,acné,acné,acné,acné,acne,acne,acne,meeëters
18,acrocyanosis,blueness,acrocianose,cor azulada das extremidades,akrocyanosis,blåfarvning af ydre dele af legemet,Acrocyanosis,blaue Verfärbung der Körperenden,acrocianosis,coloración rojiazulada de los extremos corporales,acrosyanose,bleuissement des mains et des pieds,acrocianosi,rallentamento pressione sanguigna,acrocyanose,blauwkleuring
19,ACTH,hormone,ACTH,hormona adrenocorticotrófica  corticotrofina,ACTH,kortikotropin;hormon;som regulerer binyrebarkens hormonproduktion,ACTH,Nebennirenrindenhormon,ACTH,hormona ACTH,hormone  adrénocorticotrope,hormone utilisée dans les traitements à la cortisone,ormone adrenocorticotropo,ormone di crescita,ACTH,hormoon afgescheiden in het hersenaanhangsel
20,activate,activate,activar,estimular ou acelerar;reactivar,aktivere,aktivere,aktivieren,aktivieren,activar,estimular o acelerar;reactivar,activer,activer,attivare,attivare,activeren,werkzaam maken
21,active,active,activo,reactivo;eficaz,aktiv,aktiv,aktiv,aktiv,activo,eficaz;en actividad,actif,actif,attivo,attivo,actief,werkzaam
22,activity,activity,actividade,actividade,aktivitet,aktivitet,Aktivität,Aktivität,actividad,actividad,activité,activité,attività,attività,activiteit,werking
23,acuity,sharpness,acuidade,agudez,skarpsyn,skarpsyn,,Schärfe,acuidad,agudeza,acuité,finesse de perception de l'oeilde l'oreille,acutezza,acutezza,acuïteit,scherpte
24,acute,severe,agudo,agudo,akut,akut,akut,akut,agudo,súbito y breve,aigu,aigu,acuto,acuto,acuut,plotseling en hevig
25,adaptation,adaptation,adaptação,acomodação,adaptation,tilvænning,Adaptation,Anpassung,adaptación,adaptación,adaptation ; f,adaptation,adattamento,adattamento,adaptatie,aanpassing
26,addiction,addiction,dependência,dependência de drogas,addictio,afhængighed,Sucht,Sucht,adicción,dependencia de drogas,accoutumance,accoutumance,dedizione,dipendenza,addictie,verslaving
27,additional,additional,adicional,complementar,additionel,øget,,zusätzlich,adicional,añadido;complementario,additionnel,ajouté,addizionale,aggiuntivo,additioneel,toegevoegd
28,additive,additive,aditivo,produto acrescentado,additiv,tilsætningsstof,Zusatz,Zusatz,aditivo,sustancia añadida a alimentos,additif,substance ajoutée aux aliments,additivo,sostanza aggiuntiva,additivum,toevoeging
29,adenitis,gland inflammation,adenite,caroço inflamado;inflamação das glândulas,adenitis,betændelse i lymfekirtel,Adenitis,Drüsenentzündung,adenitis,inflamación de las glándulas,adénite,inflammation des ganglions lymphatiques,adenite,infiammazione delle ghiandole,adenitis,klierontsteking
30,adenoma,non-cancerous tumour,adenoma,tumor benigno,adenom,godartet kirtelsvulst,Adenom,gutartige Geschwulst,adenoma,tumor benigno de estructura glandular,adénome,tumeur bénigne qui parasite une glande,adenoma,tumore benigno di origine ghiandolare,adenoom,goedaardig klierweefselgezwel
31,adequate,adequate,adequado,apropriado;próprio,adækvat,tilstrækkelig,adäquat,passend,adecuado,apropiado;propio,adéquat,adéquat,adeguato,adeguato,adequaat,passend bij
32,adhesion,sticking,aderência,adesão;união viciosa das superfícies orgânicas,adhæsion,sammenvoksning,Adhäsion,Verwachsung,adhesión,fijación de sustancias químicas o microbios en tejidos;unión anormal de tejidos u órganos,adhérence,adhérence,adesione,l'aderire,adhesie,vergroeiing
33,adjuvant,stiumulator,adjuvante,substância que contribui para a auxiliar,adjuvans,stof;som ved indsprøjtning sammen med antistoffer forstærker disses virkning,Adjuvans,Bestandteil einer Arznei;der die Wirkung des Hauptmit,adyuvante,sustancia que contribuye a la acción de otra;sustancia añadida a una vacuna que refuerza su efecto,adjuvant,traitement auxiliaire;complémentaire,adiuvante,che aiuta,adjuvans,toevoegsel
34,adnexitis,fallopian tubeovary inflammation,anexite,inflamações dos ovários e da trompa,adnexitis,betændelse i æggeleder og -stok,Adnexitis,Unterleibsentzündung,anexitis,inflamación de los anexos femininos,annexite,inflammation des annexes de l'utérus,annessite,infiammazione zona utero,adnexitis,ontsteking van de eierstokken en de eileiders
35,adolescent,adolescent,adolescente,jovem,adolescens,pubertets-,Adoleszent,Jugendlicher,adolescente,joven,adolescent,adolescent,adolescente,adolescente,adolescent,jeugdig persoon
36,adrenergic,acting like adreniline,adrenérgico,activado por adrenalina,adrenerg,adrenalindannende,adrenerg,auf Adrenalin ansprechend,adrenérgico,activado por la adrenalina,adrénergique,qui agit par libération d'adrénaline,adrenergico,con effetti simili all'adrenalina,adrenerg; adrenergisch,wat adrenaline afscheidt
37,adrenolytic,adrenaline-blocking,adrenolítico,substância que inibe a resposta à adrenalina,adrenolytisk,som forhindrer adrenalindannelse,Adrenolytikum,Stoff;der die Wirkung adrenergischer Stoffe aufhebt,adrenolítico,sustancia que inhibe la respuesta a la adrenalina,adrénolytique,qui supprime les effets de l'adrénaline,adrenolitico,che impedisce ad alcuni nervi di agire,adrenolyticum,middel dat adrenaline bevat
38,adsorption,sticking to a surface,adsorção,penetração pela pele ou pelas mucosas;consumo,adsorptio,binding,Adsorption,Anreicherung von Gasen und Dämpfen,adsorción,fijación a una superficie;cf absorción: penetración a través de la piel o de las mucosas,adsorption,adhésion superficielle,adsorbimento,assorbimento,adsorptie,ophoping
39,adult,adult,adulto,adulto,adultus,voksen,erwachsen,erwachsen,adulto,adulto,adulte,adulte,emancipato,emancipato,adult,volwassene
40,adverse,harmful,prejudicial,desfavorável;adverso,skadelig,skadelig,entgegengesetzt,entgegengesetzt,adverso,contrario;desfavorable,nocif,contre-indiqué;déconseille,indesiderato,indesiderato,nadelig,kwalijk
41,advice,advice,conselho,conselho;aviso,konsultation,råd,Rat,Rat,consejo,consejo,avis,avis,avviso,avviso,advies,raad
42,aerobic,with oxygen,aeróbio,que vive no ar,aerob,tilstedeværelse af ilt,aerob,Sauerstoff zum Leben brauchend,aerobio,que necesita la presencia de oxígeno,aérobie,ayant besoin d'oxygène pour vivre,aerobico,relativo ad organismi che hanno bisogno d'aria,aëroob,afhankelijk van zuurstof
43,aerophagy,air swallowing,aerofagia,engolir ar,aerofagi,luftslugning,Aerophagie,Luftschlucken,aerofagia,acción de tragar aire;deglución inconsciente de aire,aérophagie,aérophagie,aerofagia,aria nel ventre,aërofagie,inslikken van lucht
44,aerosol,aerosol,aerossol,solução de um produto destinado à inalação,aerosol,lægemiddel forstøvet med atmosfærisk luft;ilt eller luftblanding,Aerosol,zur Einatmung bestimmtes nebelförmiges Medikament,aerosol,solución de un producto destinado a ser inhalado,aérosol,aérosol,aerosol,aerosol,aërosol,spray
45,aetiology,study of disease cause,etiologia,estudo da origem de uma doença,ætiologi,læren om sygdomsårsager,Ätiologie,Lehre von den Ursachen der Krankheit,etiología,causa de una enfermedad,étiologie,étude des causes des maladies,eziologia,studio delle cause delle malattie,etiologie,leer van de ziekteoorzaken
46,affinity,attraction,afinidade,parentesco;analogia;semelhança,affinitet,stoffers tilbøjelighed til at reagere med hinanden,Affinität,Bestreben von Molekülen miteinander eine chem. Bindung,afinidad,analogía;semejanza;interacción entre un medicamento y el receptor de membrana,affinité,affinité,affinità,somiglianza,affiniteit,aantrekkingskracht
47,afterload,afterload,pós-carga,,TU,hjertespænding efter sammentrækning,Afterload,Nachbelastung,,,pression diastolique,pression artérielle minimale,afterload,tensione muscolare dopo contrazione,afterload,nabelasting
48,agalactia,not producing milk,agalactia,falta ou diminuição da secreção do leite,agalakti,manglende mælkesekretion,Agalaktie,Fehlen der Milchproduktion in der Stillzeit,agalactia,falta o disminución de la secreción de leche,agalactie ; agalaxie,absence de lait,agalattia,assenza di latte,agalactie,gebrek aan moedermelk
49,agammaglobulinaemia,immune deficiency,agamaglobulinémia,sem gamoglobinas,agammaglobulinæmi,manglende forekomst af gammaglobulin  i blodet,Agammaglobulinämie,Mangel an Gammaglobulin,agammaglobulinemia,déficit de gammaglobulina en la sangre,agammaglobulinémie,absence  insuffisance de gammaglobulines plasmatiques,agammaglobulinaemia,assenza di una proteina dell'organismo,agammaglobulinemie,gebrek aan bloedeiwit
50,agent,substance,agente,substância activa,agens,-middel,Agens,wirkendes Mittel,agente,sustancia activa,agent,agent,agente,agente,agens,werkzame stof
51,aggravation,worsening,agravação,agravamento;pioramento;piora,aggravatio,forværring,Aggravation,Verschlimmerung,agravamiento,empeoramiento,aggravation,aggravation,aggravamento,aggravamento,aggravatie,overdrijving
52,aggregation,joining,agregação,agregado;associação,aggregatus,sammenhobning,Aggregation,Zusammenballung,agregación,concentración,agrégation,agrégation,aggregazione,riunione,aggregatie,samenklontering
53,aggressiveness,aggressiveness,agressividade,agressividade,aggressivitet,aggressivitet,Aggressivität,Aggressivität,agresividad,agresividad,agressivité,agressivité,agressività,agressività,agressiviteit,neiging tot geweld
54,agitation,anxiety,agitação,desassossego;inquietação;excitação,agitatio,sindsbevægelse,Agitatio,motorische Unruhe,agitación,inquietud y actividad aumentada,agitation  (f),trouble du comportement alliant excitation mentale et motrice,agitazione,agitazione,agitatie,opwinding
55,agonist,prime mover,agonista,músculo que participa com outro num movimento;medicamento que estimula células de maneira natural,agonist,fysiologisk aktivt stof,Agonist,mitwirkender Muskel,agonista,músculo que participa con otro en un mismo movimiento;medicamento que estimula células de manera natural,agoniste,exerçant l'action principalev,agonista,stimolante,agonist,spier die zelfstandig werkt
56,agranulocytosis,bone marrow poisoning,agranulocitose,inexistência de glóbulos no sangue;doença de Pfeiffer,agranulocytose,mangel på hvide blodlegemer,Agranulozytose,hochgradige Verminderung der granulierten Leukozyten,agranulocitosis,disminución o ausencia de leucocitos granulados en la sangre,agranulocytose,diminution importante de certains globules blancs,agranulocitosi,malattia di Schultz (lesioni a gola;pelle ed intestino,agranulocytose,vermindering van het aantal korrelcellen in het bloed
57,akathisia,ants in your pants,acatisia,incapacidade em permanecer sentado,akathisia,bevægelsesforstyrrelse af hele legemet med rokkende og vridende bevægelser af kroppen,Akathisie,dauernde Bewegungsunruhe,acatisia,intranquilidad motora;incapacidad de permanecer sentado con tranquilidad,acathisie,incapacité à rester assis,acathisia,agitazione,acathisie,rusteloosheid
58,akinesia,lack of movement,acinesia,ausência de movimento;acinese,akinesi,ubevægelighed,Akinese,Unbeweglichkeit,acinesia,ausencia de movimiento,akinésie,impossibilitédifficulté d'exécuter certains mouvements,acinesia,temporanea paralisi,akinesie,bewegingsarmoede
59,albumin,water-soluble blood protein,albumina,proteína principal no sangue,albumin,æggehvidestof,Albumin,Eiweißkörper,albúmina,proteína principal en la sangre,albumine,albumine,albumina,ID,albumine,in water oplosbaar eiwit
60,alcoholism,alcoholism,alcoolismo,alcoolismo,alkoholisme,alkoholisme,Akoholismus,Akoholismus,alcoholismo,alcoholismo,alcoolisme,alcoolisme,alcolismo,alcolismo,alcoholisme,drankzucht
61,alert,alert,alerta,vigilante,kvik,kvik,alert,rege,alerta,alerta,alerte,alerte,arzillo,sveglio  arzillo,alert,oplettend
62,alimentary,digestion-related,alimentar,alimentício,alimentær,ernærings-,alimentär,mit der Ernährung zusammenhängend,alimentario,alimentario,alimentaire,alimentaire,alimentare,OT,alimentair,met betrekking tot de voeding
63,alkaline,alkaline,alcalina,medicamento que contém um álcali,alkalisk,basisk;d.v.s. pH-værdi under 7,alkalisch,Alkali enthaltend,alcalino,que posee las reacciones de un álcali,alcalin,1) qui a les propriétés d'une base - 2) antiacide,alcalino,alcalinoalcalino,alkalisch,met betrekking tot alkali
64,alkaloid,bitter plant poison,alcalóide,substância orgânica azotada com propriedades alcalinas,alkaloid,base,,,alcaloide,sustancia vegetal básica,alcaloïde,substance chimique à caractère alcalin;d'origine végétale,alcaloide,sostanza vegetale a base di nitrogeno,alkaloïde,giftige verbinding van plantaardige stoffen
65,alkalosis,high blood alkalinity,alcalose,alteração da relação ácido-base no sangue,alkalose,baseophobning i organismen,Alkalose,Zustand krankhafter Alkalivermehrung,alcalosis,disminución de la acidez de sangre y tejidos,alcalose,excès de substances alcalines,alcalosi,eccesso di sostanza alcaline nel sangue,alkalose,zuurverlies
66,alkylate,anti-cancer treatment,alcilação,substância radical alquil por um átomo de H num composto cíclico,alkylere,alkylere,alkalisieren,mit Basenüberschüssen versehen,,,alcoylant,substance qui empêche la division des cellules cancéreuses,alcalinizzare,rendere alcalino un liquidouna sostanza,alkyleren,een waterstofatoom door een alkylgroep vervangen
67,allergen,substance causing allergy,alérgeno,causa alergia,allergen,allergifremkaldende stof,Allergen,Antigen;das zu Allergie führt,alergeno,sustancia que provoca reacciones alérgicas,allergène,substance susceptible d'entraîner une réaction allergique,allergene,sostanza che genera allergia,allergeen,stof die overgevoeligheid veroorzaakt
68,allergic,allergic,alérgico,alérgico,allergisk,allergisk,allergisch,allergisch,alérgico,alérgico,allergique,allergique,allergico,allergico,allergisch,overgevoelig
69,allergy,allergy,alergia,hipersensibilidade,allergi,allergi,Allergie,Allergie,alergia,alergia,allergie,allergie,allergia,allergia,allergie,overgevoeligheid
70,alopecia,baldness,alopecia,careca;calvície;calva,alopecia,skaldethed,Alopezie,Haarausfall,alopecia,caída general o parcial de cabellos o pelos,alopécie,chute  des poils ou des cheveux,alopecia,calvizia,alopecie,haaruitval
71,alternate,alternate,alternar,sucessão de duas ou mais acções ou administrações de medicamentos,alternere,skifte,alternieren,sich abwechseln,alternar,sucederse dos o más acciones o administraciones de medicamentos,alterner,alterner: alternant,alternare,alternare,alterneren,elkaar afwisselen
72,alternative,alternative,alternativo,alternativo,alternativ,i stedet for,alternativ,abwechselnd,alternativo,alternativo,alternatif,alternatif;alternative,alternativo,alternativo,alternatief,anders en even geschikt
73,alveolitis,lung inflammation,alveolite,lesão dos alvéolos pulmonares,alveolitis,betændelse i tandfordybning,Alveolitis,1. Wurzelhautentzündung des Zahnes;2. Entzündung der,alveolitis,inflamación de los alvéolos del pulmón,alvéolite,inflammation des cavités dentaires-pulmonaires,alveolite,infiammazione degli alveoli,alveolitis,gestoorde wondgenezing
74,amblyopia,sight problems,ambliopia,enfraquecimento da vista,amblyopi,svagsynethed,Amblyopie,Schwachsichtigkeit,ambliopía,visión reducida,amblyopie,affaiblissement de la vue,ambliopia,diminuzione della vista,amblyopia; amblyopie,lui oog
75,ambulant,walking,ambulante,ambulatório,ambulant,ambulant,ambulant,ambulant,ambulante,,1) ambulant - 2) ambulatoire,1) qui se déplace ou s'étend - 2) capable de se déplacerlaissant la possibilité de se déplacer,ambulante,ambulatorio,ambulant,in staat om te lopen
76,amenorrhoea,lack of periods,amenorreia,ausência de períodos menstruais,amenorrhoea,manglende menstruation i mere end et halvt år,Amenorrhoe,Ausbleiben der Regelblutung,amenorrea,ausencia de la menstruación,aménorrhée,absence de règles,amenorrea,assenza della mestruazione,amenorrhoea; amenorroe,wegblijven van de maandstonden
77,amine,organic compound containing nitrogen,amina,composto químico relacionado com o amoníaco,amin,amin;organisk base;som kan afledes af ammoniak,Amin,Derivate des Ammoniaks,amina,compuesto químico relacionado con el amoniaco,amine,substance organique basique,ammina,composto con nitrogenoammina,amine,organische ammoniakverbinding
78,aminoacid,protein building block,aminoácido,ácido aninado,aminosyre,aminosyre;organisk syre;som indeholder en aminogruppe,,,aminoácido,aminoácido,aminoacide ; acide  aminé,substance chimique renfermant une fonction acide et une fonction amine,aminoacido,composti organici vitali,aminozuur,bouwstof van de eiwitten
79,amnesia,amnesia,amnésia,esquecimento;perda de memória,amnesi,hukommelsestab,Amnesie,Erinnerungslücke,amnesia,pérdida total o parcial de la memoria,amnésie,perte  de la mémoire,amnesia,perdita di memoria,amnesie,geheugenverlies
80,amnion,sack containing the fetus,âmnio,bolsa membranosa que contém o líquido amniótico onde flutua o bebé,amnion,fosterhinde,Amnion,Schafheut,amnios,bolsa que contiene al feto y al líquido que lo rodea envoltura del feto,amnios,fine membrane qui tapisse la cavité où se trouve le foetus,amnios,che contiene il feto,amnion,lamsvlies
81,ampoule,small sealed flask,ampola,bolha;pequeno tumor,ampul,ampul;lille glasflaske med tilsmeltet hals,Ampulle,Ampulle,ampolla,envase de vidrio o plástico;ampolla,ampoule,ampoule,ampolla,fiala,ampul,dichtgesmolten medicijnflesje
82,anabolic,body-building,anabólico,que activa o desenvolvimento fisiológico,anabolsk,anabolsk,anabol,aufbauend,anabólico,que promueve la transformación de sustancias alimentarias en sustancia corporal,1) anabolique - 2) anabolisant,1) qui se rapporte à l'anabolisme - 2) qui renforce l'anabolisme,anabolico,che riguarda una fase del metabolismo,anabool,weefselopbouwend
83,anaemia,anaemia,anemia,falta de sangue,anæmi,blodmangel,Anämie,Blutarmut,anemia,escasez de sangre o deficiencia en la sangre de glóbulos rojos,anémie,anémie,anemia,indebolimento per mancanza di emoglobina nel sangue,anaemia; anemie,bloedarmoede
84,anaerobic,without oxygen,anaeróbio,que vive sem ar,anaerob,uden tilstedværelse af ilt,anaerob,ohne Verbrauch von Sauerstoff,anaerobio,que no necesita oxígeno,anaérobie,ne pouvant vivre qu'en l'absence d'oxygène,anaerobico,relativo ad organismi che vivono senza ossigeno,anaëroob,onafhankelijk van zuurstof
85,anaesthesia,deadening of sensation,anestesia,insensibilidade à dor,anæstesi,bedøvelse,Anästhesie,Betäubung,anestesia,anestesia,anesthésie,anesthésie,anestesia,anestesia,anesthesie,verdoving
86,anaesthetic,drug to deaden sensation,anestésico,que tira a sensibilidade,anæstetiskanæstetika,bedøvelses-,anästhetisch,betäubend,anestético,droga que produce anestesia,anesthésique,anesthésiqueanesthésiant,anestetico,anestetico,anestheticum,pijnverdovend middel
87,anal,anal,anal,relativo ao ânus,anal,anal,anal,zum After gehörend,anal,relativo o perteneciente al ano,anal,1) qui se rapporte à l'anus - 2) qui se fixe sur l'anus,anale,anale,anaal,met betrekking tot de aars
88,analeptic,pick-me-up,analéptico,droga estimulante do sistema nervoso,analeptika,stimulerende middel,Analeptikum,erregende Wirkstoffe,analéptico,medicamento de efecto estimulante en la psique,analeptique,stimulant,analettico,ricostituente,analepticum,versterkend middel
89,analgesic,pain-killer,analgésico,que alivia a dor,analgetika,smertestillende middel,Analgetikum,schmerzstillendes Mittel,analgésico,medicamento aliviando o haciendo desaparecer el dolor,analgésique,antidouleur,analgesico,che smorza il dolore,analgeticum,pijnstiller
90,analogous,similar,análogo,com função semelhante mas diferente origem,analog,tilsvarende,analog,entsprechend,análogo,de acción parecida,analogue,analogue,analogo,simile,analoog,overeenkomend met
91,analysis,analysis,análise,decomposição,analyse,analyse,Analyse,Untersuchung,análisis,análisis,analyse,analyse,analisi,analisi,analyse,ontleding
92,anamnesis,remembering,anamnésia,acto de relembrar os antecedentes do doente,anamnese,sygehistorie,Anamnese,Vorgeschichte des Kranken,anamnesis,historia previa de las enfermedades de un paciente,anamnèse,renseignements fournis par le malade,anamnesi,memoria,anamnese,ondervraging
93,anaphylactic,severe allergic response-related,anafiláctico,que aumenta a sensibilidade do organismo para um veneno,anafylaktisk,overfølsomheds-,anaphylaktisch,allergisch,anafiláctico,relativo a una reacción alérgica general violenta,anaphylactique,expression majeure d'une allergie immédiate,anafilattico,relativo ad una difesa dell'organismo,anafylactisch,als gevolg van overgevoeligheid
94,anastomosis,connection between two vessels or tubes,anastomose,comunicação natural ou artificial entre dois vasos ou nervos,anastomosis,åben forbindelse mellem hulorganer,Anastomose,Verbindung zweier Hohlorgane oder zweier Nerven,anastomosis,comunicación natural o artificial entre dos vasos o nervios,anastomose,communication entre deux cavités de l'organisme,anastomosi,apertura chirurgica,anastomose,vaatverbinding
95,anatomical,body-related,anatómico,anatómico,anatomisk,om legemets opbygning,anatomisch,den Bau des menschlichen Körpers entsprechend,anatómico,anatómico,anatomique,anatomique,anatomico,relativo al corpo,anatomisch,met betrekking tot de anatomie
96,androgenic,masculine,androgénico,relativo à geração do homem,androgen,de mandlige kønshormoner,androgen,vom männlichen Geschlechtshormon,andrógeno,que produce caracteres masculinos,androgène,1) qui provoque l'apparition des caractères sexuels masculins - 2) hormone sexuelle mâle,androgeno,con caratteristiche maschili,androgeen,wat mannelijke kenmerken veroorzaakt
97,anergia,inactivity,anergia,falta de acção;inactividade,anergi,mangel på evne til at reagere over for antistoffer,Anergie,1. Mangel an Aktivität;2. Nichtreagieren auf ein Anti,anergia,carencia de actividad;falta de reacción,anergie,absence ou disparition de l'allergie,anergia,mancanza d'energia,anergie,afwezigheid van reactie
98,aneurysm,swelling in artery wall,aneurisma,protuberância num ponto fraco de uma artéria,aneurisme,pulsåresvulst,Aneurysma,Ausbuchtung eines Blutgefäßes,aneurisma,dilatación de una arteria o del corazón,anévrysme,dilatation d'une artère due à la pression du sang,aneurisma,dilatazione di un'arteria,aneurysma,slagaderbreuk
99,angiitis,blood vessel inflammation,angiite,flebite;inflamação de uma veia,angiitis,betændelse i blod- eller lymfekar,Angiitis,Wandentzündung,angiítis,inflamación de un vaso sanguíneo o linfático,angéite,inflammation des vaisseaux sanguins ou lymphatiques,angioite,infiammazione di un vaso sanguigno o linfatico,angiitis; angitis,ontsteking van een bloed- of lymfvat
100,anginal,angina-related,anginoso,relativo a angina,anginal,om halsbetændelse,anginös,durch Angina bedingt,anginoso,relativo a la angina,angineux,relatif à l'angine,anginoso,relativo all'infiammazione di un vaso,angineus,door keelontsteking veroorzaakt
101,angina pectoris,angina,angina de peito,angina de peito;esternalgia,angina pectoris,hjertekrampe,Angina pectoris,Herzbräune,angina  de pecho,angina de pecho,angine de poitrine,angine de poitrine,angina pectoris,stretta del cuore,angina pectoris,hartkramp
102,angioedema,skin blistering,angioedema,inchaço sem inflamação,angioneurotisk ødem,allergisk væskeophobning med forstyrrelse i karnervefunktionen,angioneurotisches Ödem,Flüssigkeitsansammlung im Gewebe aufgrund nervaler Gefäßregulationsstörung,edema  angioneurótico,forma de edema violento y breve,1) angio-oedème - 2) angioneurotique,manifestation allergique caractérisée par un gonflement du visage,edema angioneurotico,reazione vascolare,angio-oedeem,zwelling veroorzaakt door overgevoeligheid
103,angioneurotic,vein neuron disorder,angioneurótico,indivíduo com eretismo do aparelho vascular e vasomotor;de origem nervosa,angioneurotisk,angående forstyrrelse i karspændingen;medfører spasper eller lammelse,angioneurotisch,s.o.,angioneurótico,,angioneurotique,angionieurotique,angioneurotico,problema del sistema vascolare,angioneuroticum,met betrekking tot afwijkingen in de vaatzenuwen
104,anhydrous,without water,anidro,que não tem água,anhydrær,med vandmangel,wasserfrei,wasserfrei,anhidro,que no tiene agua,anhydre,qui ne contient pas d'eau,anidro,senza acqua,anhydrisch,watervrij
105,anionic,with an anion,aniónico,com carga negativa,anionisk,negativt ladet,anionisch,das Anion betreffend,aniónico,con carga negativa,anionique,concernant  un ion à charge éléctrique négative,anionico,relativo ad un elemento chimico negativo,anionisch,met negatief geladen deeltjes
106,anisocoria,different sized eyes,anisocoria,desigualdade do diâmetro das pupilas,anisokoria,forskellig størrelse af pupillerne,Anisokorie,ungleiche Weite der Pupillen,anisocoria,desigualdad del diámetro de las pupilas,anosocorie,inégalité de diamètre des deux pupilles,anosocoria,disparità del diametro delle pupille,anisocorie,ongelijkheid van de pupillen
107,anogenital,anus and genital-related,anogenital,pertencente à região do anus e dos órgãos genitais,anogenital,om anus og eksterne kønsorganer,anogenital,den After und die Geschlechtsteile betreffend,anogenital,perteneciente a la región del ano y los genitales,anogénital,qui concerne l'anus et les organes génitaux externes,anogenitale,relativo all'ano ed ai genitali,anogenitaal,met betrekking tot de aars en de geslachtsdelen
108,anomaly,anomaly,anomalia,irregularidade,anomali,anomali,Anomalie,Unregelmäßigkeit,anomalía,desviación de la norma;irregularidad,anomalie,anomalie,anomalia,stranezza,anomalie,afwijking
109,anorectal,back passage-related,anorectal,relativo ao anus e ao intestino grosso,anorectal,mellem endetarm og endetarmsåbning,anorektal,den After und den Mastdarm betreffend,anorrectal,referente al ano y al último trozo del intestino grueso,ano-rectal,qui concerne l'anus et le rectum,anorettale,relativo all'ano ed alla fine dell'intestino,anorectaal,met betrekking tot aars en endeldarm
110,anorexia,anorexia,anorexia,inapetência;falta de apetite,anoreksi,appetitmangel,Anorexia,Magersucht,anorexia,falta de apetito o ansia de adelgazar;pérdida de apetito,anorexie,anorexie,anoressia,mancanza d'appetito,anorexia; anorexie,gebrek aan eetlust
